All Registered Apps (71 Total)
Generated: 2026-04-12
=====================================

#  | App Name                       | Repo                                      | Visibility | Description
29 | Link-Forge                     | rsmolarz/Link-Forge                        | Private    |
30 | MarketAgent                    | rsmolarz/MarketAgent                       | Private    |
31 | Med-Com-Secure                 | rsmolarz/Med-Com-Secure                    | Public     |
32 | MedInvest                      | rsmolarz/MedInvest                         | Public     |
33 | MedInvestWatch                 | rsmolarz/MedInvestWatch                    | Private    |
34 | MedMoneyVault                  | rsmolarz/MedMoneyVault                     | Private    |
35 | Medmoneyshow.com               | rsmolarz/Medmoneyshow.com                  | Private    | medmoneyshow.com backup
36 | Ocean-Bundle-AI                | rsmolarz/Ocean-Bundle-AI                   | Private    |
37 | People-Finder                  | rsmolarz/People-Finder                     | Private    |
38 | PersonalHealth                 | rsmolarz/PersonalHealth                    | Public     | Personal health application
39 | Project-Mastermind             | rsmolarz/Project-Mastermind                | Public     |
40 | Protest-Project                | rsmolarz/Protest-Project                   | Private    | Certificate of notorial protest platform
41 | Quicken-Platform               | rsmolarz/Quicken-Platform                  | Private    |
42 | SiteForge-AI                   | rsmolarz/SiteForge-AI                      | Private    |
43 | Slide-Mastermind               | rsmolarz/Slide-Mastermind                  | Private    |
44 | Speaker-Finder-Pro             | rsmolarz/Speaker-Finder-Pro                | Private    |
45 | Travel-Planner-AI              | rsmolarz/Travel-Planner-AI                 | Private    |
46 | VIENT                          | rsmolarz/VIENT                             | Public     | AI agent platform for VIENT efficiency
47 | VIENT-backend                  | rsmolarz/VIENT-backend                     | Public     | Gmail efficiency
48 | VIENTEMAILreplit               | rsmolarz/VIENTEMAILreplit                  | Public     |
49 | Video-Transcriber              | rsmolarz/Video-Transcriber                 | Private    |
50 | Viral                          | rsmolarz/Viral                             | Private    |
51 | VoiceControlLocal              | rsmolarz/VoiceControlLocal                 | Private    | .exe for local computer control
52 | daily_briefing                 | rsmolarz/daily_briefing                    | Public     |
53 | didlogin                       | rsmolarz/didlogin                          | Private    | Login security platform
54 | forgeflow                      | rsmolarz/forgeflow                         | Private    | Sourcing furniture
55 | hybrid-ai-failover             | rsmolarz/hybrid-ai-failover                | Private    | Hybrid AI client with API failover
56 | joseph-ryan-smolarz            | rsmolarz/joseph-ryan-smolarz               | Private    |
57 | medinvest_mobile               | rsmolarz/medinvest_mobile                  | Private    |
58 | medmoneyprerak                 | rsmolarz/medmoneyprerak                    | Private    |
59 | notionish                      | rsmolarz/notionish                         | Public     |
60 | openclawui                     | rsmolarz/openclawui                        | Private    |
61 | socialmediatools               | rsmolarz/socialmediatools                  | Private    |
62 | stor-partners                  | rsmolarz/stor-partners                     | Private    |
63 | transcripts                    | rsmolarz/transcripts                       | Private    | Automatic interview transcripts
64 | vient-healthcare               | rsmolarz/vient-healthcare                  | Private    |
65 | vientaiagents-backend-main     | rsmolarz/vientaiagents-backend-main        | Public     |
66 | vientaiagents-frontend         | rsmolarz/vientaiagents-frontend            | Public     |
67 | vientaiagents-frontend-main    | rsmolarz/vientaiagents-frontend-main       | Private    |
68 | vientaimammoth                 | rsmolarz/vientaimammoth                    | Public     | AI-backed Otolaryngology EMR
69 | vientaimammoth-docker          | rsmolarz/vientaimammoth-docker             | Private    | VIENT EMR Docker/AWS deployment
70 | vientaimammoth-replit          | rsmolarz/vientaimammoth-replit             | Private    | VIENT EMR Replit deployment
71 | vite-react                     | rsmolarz/vite-react                        | Private    |


OAuth Registration Defaults
=====================================
Suggested callback URL pattern: https://{app-name}.replit.app/api/auth/callback
Suggested website URL pattern:  https://{app-name}.replit.app

Summary:
- Public repos:  16
- Private repos: 55
- Total:         71
